ticker,ret_12m,proba_class_4,target_class,year
DALRQ,-0.4886363636363636,0.20421133935451508,0,2004
EP1,0.5147036181678213,0.20411381125450134,4,2004
WNDXQ,-0.4605263157894737,0.20396846532821655,0,2004
CCTYQ,0.4273970072048769,0.20393165946006775,4,2004
SEBL,-0.2081377151799687,0.20375823974609375,0,2004
CPNLQ,-0.4004282655246253,0.20370949804782867,0,2004
TLAB,-0.1571788413098236,0.20365135371685028,0,2004
LSI1,-0.4014989293361884,0.20361118018627167,0,2004
SLR,-0.3725135623869801,0.20355921983718872,0,2004
GTW,-0.2367424242424242,0.203474223613739,0,2004
GT,0.5633228014744602,0.20346590876579285,4,2004
CMVT,0.3902962206332994,0.20340202748775482,4,2004
UNM,0.1867248507119889,0.20334547758102417,3,2004
WMB,0.9808452417148068,0.20314542949199677,4,2004
Q1,-0.1416397296503085,0.20313331484794617,0,2004
LU1,-0.3309002433090025,0.20312510430812836,0,2004
NOVL,-0.4762741652021089,0.20303331315517426,0,2004
ATI,1.0177935943060494,0.20299246907234192,4,2004
GLW,-0.0044206296048224,0.20292025804519653,1,2004
PWER1,-0.5343580470162749,0.20280908048152924,0,2004
LSI1,1.0679785330948124,0.20497453212738037,4,2005
CPNLQ,-0.8999999999999999,0.20472075045108795,0,2005
SLR,0.1527377521613833,0.20442381501197815,2,2005
GTW,-0.4565756823821341,0.20442146062850952,0,2005
IPG,-0.221477375273946,0.2040945589542389,0,2005
EP1,0.1548078877820697,0.20403477549552917,2,2005
Q1,0.8380691543991785,0.2039593905210495,4,2005
VSTNQ,0.0963222416812609,0.20384261012077332,2,2005
TLAB,1.1783223749750946,0.20383812487125397,4,2005
NOVL,0.2885906040268455,0.20383620262145996,3,2005
CNP,0.0187170634199527,0.20375767350196838,1,2005
DPHIQ,-0.9260918253079508,0.2037477344274521,0,2005
DALRQ,-0.6296296296296297,0.20373231172561646,0,2005
CPWR,0.0874083129584353,0.2036701738834381,2,2005
KG,1.0758122743682308,0.20361819863319397,4,2005
VIAV,1.4970499541103974,0.2036174088716507,4,2005
GLW,1.418595263724435,0.20358537137508392,4,2005
NVDA,1.4065934065934065,0.2033715546131134,4,2005
SEBL,0.1649099692577952,0.20307081937789917,2,2005
AW,0.6744186046511629,0.20304611325263977,4,2005
IPG,0.2876304023845009,0.2052706927061081,4,2006
SBL,0.4158790170132325,0.20474745333194733,4,2006
VIAV,-0.5434497243370964,0.2047082632780075,0,2006
PMCS,-0.4296175752644426,0.20452387630939484,0,2006
NOVL,-0.0598958333333333,0.2044941931962967,0,2006
CMS,0.3785072951739618,0.20445363223552704,4,2006
GTW,-0.1324200913242009,0.204393208026886,0,2006
CPWR,0.2120573355817876,0.20438610017299652,3,2006
LSI1,-0.0968858131487889,0.2043427973985672,0,2006
AV1,0.0451327433628319,0.20411983132362366,1,2006
AMCC,-0.2211302211302212,0.20408613979816437,0,2006
AW,0.0285947712418299,0.20407940447330475,1,2006
SLR,-0.2125,0.20407062768936157,0,2006
CTB,-0.3025341130604289,0.20404615998268127,0,2006
TLAB,-0.3773895545595902,0.20385460555553436,0,2006
AMZN,0.0892172961138477,0.203840434551239,2,2006
NVDA,0.004566210045662,0.20380091667175293,1,2006
Q1,0.3220338983050848,0.2037348747253418,4,2006
EP1,0.2139776428131325,0.20368152856826782,3,2006
BIGGQ,1.240774120102457,0.2036704421043396,4,2006
IPG,-0.3168724279835391,0.20536091923713684,0,2007
VIAV,-0.1208740655549166,0.2053179293870926,2,2007
PMCS,0.1027104136947219,0.2050425410270691,3,2007
TSN,-0.1707607250332423,0.2046923190355301,1,2007
NOVL,-0.1288088642659279,0.2046508640050888,2,2007
JNPR,0.2702791894924425,0.20417678356170654,4,2007
CMS,-0.2281701607978832,0.20405378937721252,1,2007
BALL,0.0101218756455276,0.20399847626686096,3,2007
F,-0.2750295857988164,0.20397154986858368,1,2007
SLR,0.2285714285714286,0.20393973588943481,4,2007
GT,-0.1728003460332334,0.20392049849033356,1,2007
LSI1,-0.5258620689655171,0.20352759957313538,0,2007
WEN,-0.6319288389513109,0.2033807635307312,0,2007
BIGGQ,-0.287087214225233,0.20336885750293732,1,2007
CSX,0.4177722925023139,0.20327742397785187,4,2007
CNP,-0.1715976331360946,0.20324915647506714,1,2007
AMZN,0.7914572864321607,0.2032117396593094,4,2007
CPWR,-0.2265507246376811,0.20314596593379974,1,2007
AV1,0.4801016088060965,0.2031307965517044,4,2007
TLAB,-0.4495372410753636,0.20296087861061096,0,2007
VIAV,-0.7573260073260073,0.20540866255760193,0,2008
LSI1,-0.3858585858585859,0.2052665799856186,2,2008
AMD,-0.4821731748726655,0.20518647134304047,1,2008
MU,-0.319910897875257,0.20493899285793304,3,2008
NOVL,-0.3227344992050874,0.2049325853586197,3,2008
SLM,-0.6776385644510512,0.20480294525623322,0,2008
CNP,-0.2292582417582418,0.20459766685962677,3,2008
HRB,-0.0989662921348315,0.20447611808776855,4,2008
SOV,-0.7349785407725321,0.20443934202194214,0,2008
PHM,-0.2413765182186235,0.20443101227283478,3,2008
JBL,-0.3934970139349701,0.2044084519147873,2,2008
DHI,-0.3714507973551147,0.20439396798610687,2,2008
TNL,-0.7916594265855778,0.20437711477279663,0,2008
GME,-0.458146229130685,0.2043570727109909,1,2008
NVDA,-0.5022026431718062,0.20429351925849915,1,2008
IPG,-0.5101656626506025,0.20425595343112946,1,2008
MTCH,-0.3832084338879716,0.20422646403312683,2,2008
NI,-0.3931648477886272,0.20418642461299896,2,2008
CMS,-0.0969145569620252,0.204168438911438,4,2008
BBWI,-0.465241541827975,0.20414143800735474,1,2008
MU,1.5540438397581258,0.2050197422504425,4,2009
BALL,0.2405104010293801,0.20497269928455353,0,2009
TLAB,0.6573515401714831,0.20495620369911194,2,2009
LSI1,1.013157894736842,0.20494656264781952,3,2009
CMS,0.358300481822164,0.20493876934051514,1,2009
VTRS,0.6935384615384614,0.20493341982364655,2,2009
HRL,0.3542969447918527,0.20490606129169464,1,2009
TER,1.5503090234857853,0.2048967480659485,4,2009
KG,0.6633663366336633,0.2048621028661728,2,2009
FI,0.3922106417992319,0.20481538772583008,1,2009
IPG,1.019600307455803,0.20481008291244507,3,2009
JBL,1.9897155361050327,0.2047809362411499,4,2009
EP1,0.7567171470444554,0.20477209985256195,3,2009
CTSH,1.4521196470841402,0.20476338267326355,4,2009
NOVL,0.4084507042253522,0.2047552913427353,1,2009
CTAS,0.1589916633584756,0.20468205213546753,0,2009
MAT,1.0466282276259715,0.2046698033809662,3,2009
MAS,1.2919441460794845,0.20464593172073364,4,2009
APH,0.4830670926517573,0.20461416244506836,2,2009
PHM,0.0292453837122426,0.20461197197437286,0,2009
TMUS,1.2937378954163976,0.20569564402103424,4,2010
GME,0.0277173913043478,0.20567816495895386,1,2010
NOVL,-0.0116666666666667,0.2056601345539093,0,2010
CPWR,0.3750327482315954,0.20564475655555725,4,2010
BSX,-0.0041551246537395,0.205426886677742,0,2010
FHN,-0.2015102927485258,0.20530278980731964,0,2010
CTAS,0.0965918821716045,0.2051633894443512,1,2010
VIAV,0.6645215444879686,0.20512594282627106,4,2010
BALL,0.3530123606188953,0.20507454872131348,3,2010
DHI,-0.0633339597819958,0.2050555944442749,0,2010
KIM,0.2103330378624792,0.20505307614803314,2,2010
NDAQ,0.2234962074439936,0.2050023376941681,2,2010
NVDA,0.0601503759398496,0.20490236580371857,1,2010
HRB,-0.0187044693837369,0.20484304428100586,0,2010
Q1,0.3778495057494452,0.20479397475719452,4,2010
PHM,-0.3422171523384839,0.2047528773546219,0,2010
APH,0.290607496768634,0.2047431766986847,3,2010
FAST,0.3839176268693307,0.20470479130744934,4,2010
AMAT,0.1853435985172511,0.20465828478336334,2,2010
S2,0.2210526315789474,0.20465603470802307,2,2010
PHM,0.1959640548636292,0.2058592289686203,3,2011
TLAB,-0.2643521049753964,0.205784872174263,0,2011
GME,-0.0237969328397672,0.20546430349349976,1,2011
CPWR,-0.2865580642088216,0.2052726447582245,0,2011
JNS,-0.5228440890919475,0.20520249009132385,0,2011
DFODQ,0.2110436893203882,0.20517000555992126,4,2011
NDAQ,0.0023068050749712,0.20511029660701752,2,2011
LSI1,0.276470588235294,0.204864963889122,4,2011
TGNA,0.0317204301075269,0.2048061341047287,2,2011
VIAV,-0.3047571020339552,0.20479102432727814,0,2011
BSX,-0.1682892906815021,0.2047799825668335,0,2011
MAS,-0.0124540628828092,0.20474892854690552,1,2011
HST,-0.0558207858979066,0.20472419261932373,1,2011
NVDA,-0.1654846335697399,0.20472000539302826,0,2011
PBCT,0.1039454712282081,0.20465858280658722,3,2011
APH,0.1021532298447671,0.20462293922901154,3,2011
CTAS,0.3153209433078245,0.20456185936927795,4,2011
NOVL,0.0286677908937605,0.20455627143383026,2,2011
IRM,-0.0478605906896834,0.2045404464006424,1,2011
GT,-0.2510318949343338,0.20451857149600983,0,2011
AMD,-0.6820448877805486,0.20540140569210052,0,2012
IPG,0.1680140123955809,0.20537036657333374,2,2012
NWL,0.5017889868225849,0.20527414977550507,4,2012
PBCT,0.0693421990026121,0.2052730917930603,1,2012
GME,0.335590465872156,0.20518949627876282,4,2012
PHM,1.2869760084365938,0.20516136288642883,4,2012
APH,0.2573072845676207,0.2050693780183792,3,2012
TGNA,0.4848011116901165,0.2050592303276062,4,2012
CTAS,0.1455711232486343,0.2050280123949051,2,2012
DFODQ,0.4970437919631227,0.20496414601802826,4,2012
NDAQ,0.273446490218642,0.20487172901630402,3,2012
FHN,0.0368926632326327,0.20486095547676086,1,2012
LSI1,-0.2188940092165898,0.20479774475097656,0,2012
VIAV,-0.0776112185686653,0.2047501504421234,0,2012
HCBK,0.2332097850259451,0.20468339323997498,3,2012
HST,0.088000777907429,0.20467987656593323,1,2012
NI,0.2430387896346371,0.20463113486766815,3,2012
NVDA,-0.1558073654390934,0.2045689821243286,0,2012
DHI,0.6272175890826386,0.20451468229293823,4,2012
MU,0.2321496271957537,0.20448066294193268,3,2012
IPG,0.3417925943015341,0.2059195339679718,3,2013
