None,ticker,datekey,date,revenue,eps,ebitda,netinc,roe,evebitda,fcfps,pb,pe,marketcap,ebit,currentratio,capex,ncfo,equity,de,year
148,XYL,2025-03-03,2024-12-31,8562000000.0,3.67,1693000000.0,890000000.0,0.085,19.16,3.899,2.964,35.441,31542539210.0,1131000000.0,1.754,-317000000.0,1263000000.0,10642000000.0,0.527,2024
149,XYL,2024-02-28,2023-12-31,7364000000.0,2.81,1120000000.0,609000000.0,0.073,28.249,2.613,2.988,49.875,30373616985.0,684000000.0,1.761,-270000000.0,837000000.0,10166000000.0,0.584,2023
150,XYL,2023-02-24,2022-12-31,5522000000.0,1.97,726000000.0,355000000.0,0.108,26.717,2.153,5.283,52.001,18460505702.0,490000000.0,1.894,-208000000.0,596000000.0,3494000000.0,1.273,2022
151,XYL,2022-02-25,2021-12-31,5195000000.0,2.37,832000000.0,427000000.0,0.139,20.973,1.831,5.083,38.31,16358410569.0,587000000.0,2.272,-208000000.0,538000000.0,3218000000.0,1.569,2021
152,XYL,2021-02-26,2020-12-31,4876000000.0,1.41,613000000.0,254000000.0,0.088,31.265,3.559,6.05,70.695,17956491563.0,362000000.0,1.801,-183000000.0,824000000.0,2968000000.0,1.945,2020
153,XYL,2020-02-28,2019-12-31,5249000000.0,2.23,740000000.0,401000000.0,0.139,20.987,3.406,4.714,34.759,13938414492.0,483000000.0,1.632,-226000000.0,839000000.0,2957000000.0,1.604,2019
154,XYL,2019-02-22,2018-12-31,5207000000.0,3.05,928000000.0,549000000.0,0.21,16.641,1.941,4.852,24.464,13430541810.0,667000000.0,1.508,-237000000.0,586000000.0,2768000000.0,1.604,2018
155,XYL,2018-02-23,2017-12-31,4707000000.0,1.84,783000000.0,331000000.0,0.138,19.726,2.879,5.457,41.267,13659278907.0,549000000.0,1.883,-169000000.0,686000000.0,2503000000.0,1.734,2017
156,XYL,2017-02-23,2016-12-31,3771000000.0,1.45,561000000.0,260000000.0,0.119,18.874,2.088,3.894,32.802,8528481166.0,410000000.0,1.485,-123000000.0,497000000.0,2190000000.0,1.948,2016
157,XYL,2016-02-26,2015-12-31,3653000000.0,1.88,591000000.0,340000000.0,0.166,12.397,1.918,3.231,19.801,6732484678.0,458000000.0,2.436,-117000000.0,464000000.0,2084000000.0,1.235,2015
158,XYL,2015-02-26,2014-12-31,3916000000.0,1.84,617000000.0,337000000.0,0.153,11.582,1.633,3.066,19.351,6521218720.0,475000000.0,2.315,-117000000.0,416000000.0,2127000000.0,1.287,2014
159,XYL,2014-02-27,2013-12-31,3837000000.0,1.23,503000000.0,228000000.0,0.107,15.863,1.102,3.244,31.89,7270909592.0,353000000.0,2.355,-120000000.0,324000000.0,2241000000.0,1.185,2013
160,XYL,2013-02-25,2012-12-31,3791000000.0,1.6,585000000.0,297000000.0,0.148,9.797,1.555,2.425,16.936,5030033040.0,443000000.0,2.399,-107000000.0,396000000.0,2074000000.0,1.256,2012
161,XYL,2012-02-28,2011-12-31,3803000000.0,1.51,537000000.0,279000000.0,0.123,10.886,1.804,2.714,17.77,4957962878.0,400000000.0,2.01,-115000000.0,449000000.0,1827000000.0,1.404,2011
162,XYL,2011-10-05,2010-12-31,3202000000.0,,480000000.0,329000000.0,,,1.631,,,,388000000.0,2.059,-94000000.0,395000000.0,2719000000.0,0.374,2010
163,XYL,2011-09-26,2010-12-31,3202000000.0,,480000000.0,329000000.0,,,1.631,,,,388000000.0,2.059,-94000000.0,395000000.0,2719000000.0,0.374,2010
164,XYL,2011-09-13,2010-12-31,3202000000.0,,480000000.0,329000000.0,,,1.631,,,,388000000.0,2.059,-94000000.0,395000000.0,2719000000.0,0.374,2010
165,XYL,2011-08-22,2010-12-31,3202000000.0,,480000000.0,329000000.0,,,1.631,,,,388000000.0,2.059,-94000000.0,395000000.0,2719000000.0,0.374,2010
166,XYL,2011-07-11,2010-12-31,3202000000.0,,480000000.0,329000000.0,,,1.631,,,,388000000.0,2.059,-94000000.0,395000000.0,2719000000.0,0.374,2010
167,XTO,2010-02-25,2009-12-31,9064000000.0,3.48,6766000000.0,2019000000.0,0.115,5.49,3.252,1.539,13.21,26670511683.0,3687000000.0,1.107,-4057000000.0,5954000000.0,17326000000.0,1.093,2009
168,XTO,2009-02-25,2008-12-31,7695000000.0,3.6,5533000000.0,1912000000.0,0.151,5.583,-14.618,1.093,9.914,18955856166.0,3508000000.0,1.453,-13006000000.0,5235000000.0,17347000000.0,1.205,2008
169,XTO,2008-02-26,2007-12-31,5513000000.0,3.58,4079000000.0,1691000000.0,0.233,9.149,-7.853,3.903,18.331,30997057347.0,2892000000.0,0.837,-7345000000.0,3639000000.0,7941000000.0,1.383,2007
