None,ticker,datekey,date,revenue,eps,ebitda,netinc,roe,evebitda,fcfps,pb,pe,marketcap,ebit,currentratio,capex,ncfo,equity,de,year
1117,VZ,2019-02-15,2018-12-31,130863000000.0,3.76,41348000000.0,15528000000.0,0.295,8.18,4.283,4.289,14.678,227923650906.0,23945000000.0,0.913,-16658000000.0,34339000000.0,53145000000.0,3.954,2018
1118,VZ,2018-02-23,2017-12-31,126034000000.0,7.37,41832000000.0,30101000000.0,1.015,7.459,1.973,4.571,6.545,196998386328.0,24878000000.0,0.905,-17247000000.0,25305000000.0,43096000000.0,4.93,2017
1119,VZ,2017-02-21,2016-12-31,125980000000.0,3.22,40809000000.0,13127000000.0,0.649,7.516,1.386,8.947,15.351,201512850501.0,24881000000.0,0.87,-17059000000.0,22715000000.0,22524000000.0,9.774,2016
1120,VZ,2016-02-23,2015-12-31,131620000000.0,4.38,48681000000.0,17879000000.0,1.421,6.409,5.179,12.555,11.536,206258567248.0,32664000000.0,0.636,-17775000000.0,38930000000.0,16428000000.0,13.806,2015
1121,VZ,2015-02-23,2014-12-31,127079000000.0,2.42,34387000000.0,9625000000.0,0.682,8.879,3.382,16.479,21.056,202659258304.0,17854000000.0,1.056,-17191000000.0,30631000000.0,12298000000.0,17.81,2014
1122,VZ,2014-02-27,2013-12-31,120550000000.0,4.01,36500000000.0,11497000000.0,0.326,6.487,7.751,5.065,17.109,196704185578.0,19894000000.0,2.625,-16604000000.0,38818000000.0,38836000000.0,4.601,2013
1123,VZ,2013-02-26,2012-12-31,115846000000.0,0.31,19246000000.0,875000000.0,0.024,9.39,5.367,3.976,150.656,131823662232.0,2786000000.0,0.788,-16175000000.0,31486000000.0,33157000000.0,4.213,2012
1124,VZ,2012-02-24,2011-12-31,110875000000.0,0.85,22012000000.0,2404000000.0,0.063,6.812,4.778,3.007,44.986,108146891348.0,5516000000.0,1.006,-16244000000.0,29780000000.0,35970000000.0,4.019,2011
1125,VZ,2011-02-28,2010-12-31,106565000000.0,0.9,23944000000.0,2549000000.0,0.065,6.287,5.973,2.707,40.962,104412429796.0,7539000000.0,0.73,-16458000000.0,33363000000.0,38569000000.0,3.451,2010
1126,VZ,2010-02-26,2009-12-31,107808000000.0,1.29,24495000000.0,3651000000.0,0.086,5.809,5.11,1.972,22.47,82037579535.0,7963000000.0,0.776,-17047000000.0,31565000000.0,41606000000.0,3.434,2009
1127,VZ,2009-02-24,2008-12-31,97354000000.0,2.26,26143000000.0,6428000000.0,0.133,4.717,3.293,1.946,12.625,81155072329.0,11578000000.0,1.007,-17238000000.0,26620000000.0,41706000000.0,3.852,2008
1128,VZ,2008-02-28,2007-12-31,93469000000.0,1.91,25709000000.0,5521000000.0,0.111,5.319,2.83,2.11,19.334,106742112180.0,11332000000.0,0.756,-17538000000.0,25739000000.0,50581000000.0,2.696,2007
1129,VZ,2007-03-01,2006-12-31,88144000000.0,2.13,25765000000.0,6197000000.0,0.134,5.476,2.406,2.224,17.421,107957053562.0,11220000000.0,0.698,-17101000000.0,24106000000.0,48535000000.0,2.89,2006
1130,VZ,2006-03-14,2005-12-31,75112000000.0,2.67,26834000000.0,7397000000.0,0.19,5.176,2.418,2.537,13.607,100653450433.0,12787000000.0,0.656,-15324000000.0,22012000000.0,39680000000.0,3.237,2005
1131,VZ,2005-03-14,2004-12-31,71283000000.0,2.83,26976000000.0,7831000000.0,0.223,5.076,3.091,2.661,12.762,99940335396.0,13066000000.0,0.842,-13259000000.0,21820000000.0,37560000000.0,3.418,2004
1132,VZ,2004-03-12,2003-12-31,67752000000.0,1.12,20743000000.0,3077000000.0,0.089,7.215,3.845,3.137,34.12,104988424615.0,7126000000.0,0.688,-11884000000.0,22482000000.0,33466000000.0,3.959,2003
1133,VZ,2003-03-14,2002-12-31,67625000000.0,1.49,22357000000.0,4079000000.0,0.131,6.659,3.707,2.951,23.594,96239688507.0,8934000000.0,0.774,-11984000000.0,22100000000.0,32616000000.0,4.135,2002
1134,VZ,2002-03-20,2001-12-31,67190000000.0,0.14,19591000000.0,389000000.0,0.011,9.906,0.886,4.017,336.053,130724439801.0,5934000000.0,0.61,-17371000000.0,19773000000.0,32539000000.0,4.249,2001
1135,VZ,2001-03-23,2000-12-31,64707000000.0,4.34,34557000000.0,11797000000.0,0.393,5.31,-0.666,3.671,10.769,126932139653.0,22296000000.0,0.646,-17633000000.0,15827000000.0,34578000000.0,3.764,2000
1136,VZ,2000-03-30,1999-12-31,33174000000.0,2.71,14243000000.0,4202000000.0,0.281,8.271,1.411,5.981,22.603,94977885432.0,8022000000.0,0.787,-8464000000.0,10656000000.0,15880000000.0,2.943,1999
1137,VZ,1999-03-30,1998-12-31,31565900000.0,1.89,12179000000.0,2965300000.0,0.227,8.387,1.698,6.276,27.872,81748010855.0,6308800000.0,0.862,-7434600000.0,10070900000.0,13025400000.0,3.234,1998
1138,VYX,2025-02-27,2024-12-31,2826000000.0,6.52,1393000000.0,958000000.0,2.065,1.571,-2.412,1.712,1.694,1597149739.0,1096000000.0,1.177,-217000000.0,-132000000.0,933000000.0,3.478,2024
1139,VYX,2024-03-14,2023-12-31,3830000000.0,-3.12,634000000.0,-423000000.0,-0.395,6.893,2.312,72.838,-4.148,1820942450.0,75000000.0,0.905,-369000000.0,694000000.0,25000000.0,187.56,2023
1140,VYX,2023-02-27,2022-12-31,7844000000.0,0.32,1103000000.0,60000000.0,0.031,8.041,0.585,2.422,81.459,3584189000.0,493000000.0,1.136,-367000000.0,447000000.0,1480000000.0,6.59,2022
1141,VYX,2022-02-25,2021-12-31,7156000000.0,0.62,1038000000.0,97000000.0,0.069,10.413,5.564,4.459,69.141,5600439000.0,521000000.0,1.024,-347000000.0,1077000000.0,1256000000.0,8.048,2021
1142,VYX,2021-02-26,2020-12-31,6207000000.0,-0.86,450000000.0,-79000000.0,-0.1,17.305,2.998,4.315,-41.112,4522276000.0,86000000.0,1.187,-256000000.0,641000000.0,1048000000.0,6.765,2020
1143,VYX,2020-02-28,2019-12-31,6915000000.0,3.72,821000000.0,564000000.0,0.644,8.115,2.539,2.938,7.144,3243239975.0,488000000.0,1.239,-318000000.0,628000000.0,1104000000.0,6.78,2019
1144,VYX,2019-02-28,2018-12-31,6405000000.0,-1.16,483000000.0,-88000000.0,-0.303,12.49,2.213,8.434,-24.318,3331578000.0,153000000.0,1.325,-310000000.0,572000000.0,395000000.0,16.428,2018
1145,VYX,2018-02-26,2017-12-31,6516000000.0,1.01,991000000.0,232000000.0,0.185,6.424,3.831,5.441,31.804,3911936000.0,637000000.0,1.498,-288000000.0,755000000.0,719000000.0,8.494,2017
1146,VYX,2017-02-24,2016-12-31,6543000000.0,1.76,876000000.0,270000000.0,0.361,9.852,5.311,8.745,27.5,6077430000.0,532000000.0,1.403,-227000000.0,894000000.0,695000000.0,8.794,2016
1147,VYX,2016-02-26,2015-12-31,6373000000.0,-1.09,358000000.0,-178000000.0,-0.124,16.927,2.81,4.355,-17.23,3135836000.0,50000000.0,1.431,-210000000.0,681000000.0,720000000.0,8.465,2015
1148,VYX,2015-02-27,2014-12-31,6591000000.0,1.14,608000000.0,191000000.0,0.101,13.338,1.59,2.652,25.976,4961467000.0,324000000.0,1.492,-257000000.0,524000000.0,1871000000.0,3.586,2014
1149,VYX,2014-02-27,2013-12-31,6123000000.0,2.68,852000000.0,443000000.0,0.292,8.675,0.393,3.211,12.82,5679469000.0,644000000.0,2.307,-216000000.0,281000000.0,1769000000.0,3.568,2013
1150,VYX,2013-03-04,2012-12-31,5730000000.0,0.92,396000000.0,146000000.0,0.145,13.456,-2.084,3.556,30.374,4434633000.0,230000000.0,1.955,-152000000.0,-180000000.0,1247000000.0,4.073,2012
1151,VYX,2012-02-28,2011-12-31,5443000000.0,0.34,234000000.0,53000000.0,0.057,16.564,1.354,4.281,64.545,3420863000.0,66000000.0,1.607,-161000000.0,375000000.0,799000000.0,5.952,2011
1152,VYX,2011-02-25,2010-12-31,4819000000.0,0.84,246000000.0,134000000.0,0.183,10.479,0.313,3.469,22.856,3062713000.0,108000000.0,1.75,-192000000.0,242000000.0,883000000.0,3.901,2010
1153,VYX,2010-02-26,2009-12-31,4612000000.0,-0.21,44000000.0,-33000000.0,-0.07,35.896,0.327,3.573,-61.073,2015414000.0,-80000000.0,1.664,-171000000.0,223000000.0,564000000.0,6.209,2009
1154,VYX,2009-02-26,2008-12-31,5315000000.0,1.38,417000000.0,228000000.0,0.176,2.148,2.033,2.952,5.697,1298822000.0,308000000.0,1.51,-79000000.0,415000000.0,440000000.0,8.67,2008
1155,VYX,2008-02-29,2007-12-31,4970000000.0,1.52,469000000.0,274000000.0,0.143,6.881,0.389,2.203,14.129,3871352000.0,359000000.0,2.018,-81000000.0,151000000.0,1757000000.0,1.721,2007
1156,VYX,2007-03-01,2006-12-31,6142000000.0,2.12,661000000.0,382000000.0,0.181,11.524,1.828,4.39,21.616,8257270000.0,502000000.0,1.882,-153000000.0,482000000.0,1881000000.0,1.779,2006
1157,VYX,2006-03-10,2005-12-31,6028000000.0,2.86,666000000.0,529000000.0,0.252,10.116,2.043,3.558,13.686,7239960000.0,419000000.0,1.637,-230000000.0,608000000.0,2035000000.0,1.598,2005
1158,VYX,2005-03-07,2004-12-31,5984000000.0,1.55,549000000.0,290000000.0,0.149,12.386,1.333,3.471,24.968,7240640000.0,274000000.0,1.527,-186000000.0,436000000.0,2086000000.0,1.663,2004
1159,VYX,2004-03-15,2003-12-31,5598000000.0,0.305,413000000.0,58000000.0,0.04,8.78,1.153,2.136,69.055,4005200000.0,98000000.0,1.534,-222000000.0,441000000.0,1875000000.0,1.923,2003
1160,VYX,2003-03-13,2002-12-31,5585000000.0,-1.125,130000000.0,-220000000.0,-0.128,11.983,0.056,1.338,-8.058,1772843155.0,-198000000.0,1.543,-236000000.0,247000000.0,1325000000.0,2.526,2002
1161,VYX,2002-03-21,2001-12-31,5917000000.0,1.125,561000000.0,217000000.0,0.111,7.553,-0.719,2.183,20.393,4425316343.0,138000000.0,1.293,-285000000.0,146000000.0,2027000000.0,1.395,2001
1162,VYX,2001-03-08,2000-12-31,5959000000.0,0.935,649000000.0,178000000.0,0.105,6.628,0.105,2.589,25.569,4551318990.0,288000000.0,1.217,-151000000.0,171000000.0,1758000000.0,1.904,2000
1163,VYX,2000-03-09,1999-12-31,6196000000.0,1.725,605000000.0,337000000.0,0.227,6.06,2.848,2.727,12.914,4352053340.0,247000000.0,1.529,-51000000.0,607000000.0,1596000000.0,2.059,1999
1164,VYX,1999-03-15,1998-12-31,6505000000.0,0.605,589000000.0,122000000.0,0.09,6.826,-0.564,3.076,36.489,4451655178.0,225000000.0,1.548,-57000000.0,-57000000.0,1447000000.0,2.381,1998
1165,VTSS,2014-12-04,2014-12-31,108497000.0,-0.3,-9466000.0,-18075000.0,-0.889,-19.749,-0.135,6.734,-11.646,210500149.0,-11507000.0,1.711,-1301000.0,-6946000.0,31258000.0,2.354,2014
1166,VTSS,2013-12-05,2013-12-31,103773000.0,-0.55,-12335000.0,-22078000.0,-6.041,-12.358,-0.255,10.092,-7.272,160550620.0,-14710000.0,4.168,-1150000.0,-9119000.0,15908000.0,5.221,2013
1167,VTSS,2012-12-04,2012-12-31,119483000.0,-0.04,9455000.0,-1112000.0,0.039,9.845,0.321,-2.44,-52.698,58600086.0,6492000.0,2.527,-735000.0,8809000.0,-24015000.0,-3.358,2012
1168,VTSS,2011-12-06,2011-12-31,140967000.0,-0.61,-3347000.0,-14812000.0,0.523,-29.053,-0.439,-2.065,-3.968,58771147.0,-6975000.0,2.132,-3457000.0,-7211000.0,-28459000.0,-3.143,2011
1169,VTSS,2010-12-01,2010-12-31,165990000.0,-0.95,-5499000.0,-20055000.0,0.454,-22.108,-0.076,-4.462,-4.707,94986663.0,-9039000.0,2.318,-3075000.0,1472000.0,-21288000.0,-5.578,2010
1170,VTSS,2009-12-14,2009-12-31,168177000.0,-17.0,-174472000.0,-194041000.0,3.186,-0.949,2.035,-1.58,-0.499,96922032.0,-178630000.0,1.734,4160000.0,19197000.0,-61359000.0,-2.719,2009
1171,VTSS,2008-12-31,2008-12-31,228536000.0,1.4,27024000.0,16554000.0,0.143,6.3,-2.173,0.65,4.919,81434009.0,21644000.0,2.259,-1681000.0,-22620000.0,125361000.0,1.33,2008
1172,VTSS,2008-09-30,2007-12-31,221948000.0,-2.0,-8183000.0,-21647000.0,,-30.447,0.438,1.15,-5.643,122151013.0,-18843000.0,1.878,-879000.0,5778000.0,106243000.0,2.069,2007
1173,VTSS,2005-12-14,2005-12-31,190778000.0,-11.8,-83936000.0,-126879000.0,-0.402,-6.884,-3.82,1.941,-3.895,494136190.0,-123295000.0,2.056,-79275000.0,37999000.0,254527000.0,0.616,2005
1174,VTSS,2004-12-10,2004-12-31,218775000.0,-3.0,14418000.0,-33065000.0,-0.086,64.757,0.237,1.989,-22.271,736378667.0,-25096000.0,1.706,-2190000.0,4744000.0,370238000.0,0.78,2004
1175,VTSS,2003-12-16,2003-12-31,156371000.0,-16.4,-123307000.0,-167189000.0,-0.392,-11.471,-1.827,3.273,-7.547,1261788578.0,-159935000.0,4.952,-19103000.0,490000.0,385508000.0,0.727,2003
1176,VTSS,2002-12-18,2002-12-31,162357000.0,-89.0,-674520000.0,-883526000.0,-1.045,-0.904,-16.201,0.945,-0.516,456015886.0,-743147000.0,3.303,-75272000.0,-85610000.0,482705000.0,0.714,2002
1177,VTSS,2001-12-17,2001-12-31,384143000.0,-18.8,28482000.0,-111875000.0,-0.091,101.568,-16.648,1.84,-21.864,2446003714.0,-108399000.0,2.754,-152505000.0,-2201000.0,1329005000.0,0.454,2001
1178,VTSS,2000-12-19,2000-12-31,441694000.0,3.2,153063000.0,27889000.0,0.03,68.093,7.088,9.003,356.834,9951737639.0,81678000.0,12.429,-89967000.0,152396000.0,1105402000.0,0.72,2000
1179,VTSS,1999-12-23,1999-12-31,281534000.0,9.2,127251000.0,69880000.0,0.164,63.079,6.154,16.656,116.0,8106070099.0,103890000.0,8.949,-42836000.0,90017000.0,486688000.0,0.074,1999
1180,VTSS,1998-12-23,1998-12-31,175082000.0,7.3,80851000.0,52873000.0,0.173,40.675,2.934,9.86,63.533,3359183021.0,65951000.0,8.766,-29671000.0,51007000.0,340688000.0,0.081,1998
1181,VTRS,2025-02-27,2024-12-31,14739300000.0,-0.53,2820000000.0,-634200000.0,-0.033,8.755,1.659,0.61,-17.937,11375853778.0,-73200000.0,1.647,-323300000.0,2302900000.0,18635500000.0,1.227,2024
1182,VTRS,2024-02-28,2023-12-31,15426900000.0,0.05,3516500000.0,54700000.0,0.003,9.025,2.03,0.713,266.823,14595224841.0,776000000.0,1.668,-363000000.0,2799600000.0,20467400000.0,1.33,2023
1183,VTRS,2023-02-27,2022-12-31,16262700000.0,1.71,6433200000.0,2078600000.0,0.103,4.884,2.112,0.636,6.449,13404316341.0,3405600000.0,1.577,-392200000.0,2952600000.0,21072300000.0,1.374,2022
1184,VTRS,2022-02-28,2021-12-31,17886300000.0,-1.05,4478300000.0,-1269100000.0,-0.06,7.973,2.133,0.65,-10.494,13317434843.0,-28200000.0,1.103,-438900000.0,3016900000.0,20492700000.0,1.676,2021
1185,VTRS,2021-03-01,2020-12-31,11946000000.0,-1.11,1992700000.0,-669900000.0,-0.046,21.46,1.648,0.774,-26.524,17768256225.0,-223400000.0,1.218,-240900000.0,1231800000.0,22954100000.0,1.682,2020
1186,VTRS,2020-02-28,2019-12-31,11500500000.0,0.03,2691000000.0,16800000.0,0.001,7.848,3.084,0.747,528.16,8873085879.0,671700000.0,1.213,-213200000.0,1803700000.0,11883800000.0,1.63,2019
1187,VTRS,2019-02-27,2018-12-31,11433900000.0,0.69,2950600000.0,352500000.0,0.028,9.115,4.061,1.103,38.071,13419858095.0,840700000.0,1.388,-252100000.0,2341700000.0,12167100000.0,1.69,2018
1188,VTRS,2018-03-01,2017-12-31,11907700000.0,1.3,3243400000.0,696000000.0,0.054,10.907,3.347,1.574,30.095,20946467739.0,1437600000.0,1.13,-275900000.0,2064800000.0,13307600000.0,1.691,2017
1189,VTRS,2017-03-01,2016-12-31,11076900000.0,0.94,2099500000.0,480000000.0,0.044,18.37,3.23,2.162,50.058,24027749852.0,576500000.0,1.492,-390400000.0,2047200000.0,11116200000.0,2.124,2016
1190,VTRS,2016-02-16,2015-12-31,9429300000.0,1.8,2286800000.0,847600000.0,0.089,11.943,3.49,2.168,24.98,21173181418.0,1254700000.0,1.57,-360600000.0,2008500000.0,9764400000.0,1.28,2015
1191,VTRS,2015-03-02,2014-12-31,7719600000.0,2.49,1870600000.0,929400000.0,0.283,16.153,1.869,6.727,23.568,21904051641.0,1304000000.0,1.279,-316400000.0,1014800000.0,3255900000.0,3.873,2014
1192,VTRS,2014-02-27,2013-12-31,6909143000.0,1.63,1573852000.0,623711000.0,0.209,18.214,2.08,7.114,33.553,20927516769.0,1057855000.0,1.513,-309330000.0,1106563000.0,2941817000.0,4.173,2013
1193,VTRS,2013-02-28,2012-12-31,6796110000.0,1.54,1657298000.0,640850000.0,0.184,10.316,1.59,3.506,18.276,11712261379.0,1110694000.0,1.779,-288987000.0,949018000.0,3340718000.0,2.567,2012
1194,VTRS,2012-02-21,2011-12-31,6129825000.0,1.25,1499275000.0,536810000.0,0.146,9.742,1.023,2.775,18.054,9691399416.0,988587000.0,1.392,-279848000.0,720424000.0,3491775000.0,2.318,2011
1195,VTRS,2011-02-24,2010-12-31,5450522000.0,0.69,1109767000.0,345115000.0,0.067,12.993,2.292,2.685,43.26,9672078138.0,686979000.0,1.967,-187845000.0,931404000.0,3601879000.0,2.199,2010
1196,VTRS,2010-02-26,2009-12-31,5092785000.0,0.31,931451000.0,232571000.0,0.032,12.126,1.477,2.09,69.968,6544530671.0,530294000.0,1.912,-154402000.0,605075000.0,3131146000.0,2.445,2009
1197,VTRS,2009-03-03,2008-12-31,5137585000.0,-1.05,738532000.0,-181215000.0,-0.107,11.121,0.721,1.29,-10.894,3488866204.0,313253000.0,2.055,-165113000.0,384447000.0,2703509000.0,2.84,2008
1198,VTRS,2009-02-23,2008-12-31,5137585000.0,-1.05,738532000.0,-181215000.0,-0.107,11.707,0.721,1.451,-12.245,3921546555.0,313253000.0,2.055,-165113000.0,384447000.0,2703509000.0,2.84,2008
1199,VTRS,2007-05-30,2007-12-31,1611819000.0,1.01,539089000.0,217284000.0,0.19,10.28,1.062,2.975,22.579,4906036013.0,477577000.0,3.443,-161851000.0,390192000.0,1648860000.0,1.554,2007
1200,VTRS,2006-05-16,2006-12-31,1257164000.0,0.8,352717000.0,184542000.0,0.173,14.165,1.364,5.658,24.151,4456890098.0,305890000.0,4.493,-103689000.0,416561000.0,787651000.0,1.375,2006
1201,VTRS,2005-05-20,2005-12-31,1253374000.0,0.76,357347000.0,203592000.0,0.113,11.831,0.42,2.354,21.339,4344488734.0,312247000.0,6.226,-90746000.0,203711000.0,1845936000.0,0.157,2005
1202,VTRS,2004-06-14,2004-12-31,1374617000.0,1.24,556931000.0,334609000.0,0.214,10.685,0.398,3.634,18.026,6031762819.0,512608000.0,7.584,-118451000.0,225578000.0,1659788000.0,0.13,2004
1203,VTRS,2003-06-25,2003-12-31,1269192000.0,0.98,467093000.0,272353000.0,0.188,12.576,1.006,4.226,22.44,6111690027.0,426513000.0,4.621,-32565000.0,313143000.0,1446332000.0,0.207,2003
1204,VTRS,2002-06-26,2002-12-31,1104050000.0,0.92,454434000.0,260251000.0,0.202,7.947,1.171,2.674,14.41,3750160070.0,408323000.0,6.064,-15773000.0,346471000.0,1402239000.0,0.153,2002
1205,VTRS,2002-06-17,2002-12-31,1104050000.0,0.92,454434000.0,260251000.0,0.202,8.428,1.171,2.83,15.249,3968689156.0,408323000.0,6.064,-15773000.0,346471000.0,1402239000.0,0.153,2002
1206,VTRS,2001-06-26,2001-12-31,846696000.0,0.133,100405000.0,37128000.0,0.034,33.842,0.15,3.177,96.922,3598504607.0,58013000.0,3.019,-24651000.0,67017000.0,1132536000.0,0.294,2001
1207,VTRS,2000-06-23,2000-12-31,790145000.0,0.529,278449000.0,154246000.0,0.135,7.151,0.311,1.79,13.966,2154272402.0,242743000.0,7.824,-28788000.0,119216000.0,1203722000.0,0.114,2000
1208,VTRS,1999-06-28,1999-12-31,721123000.0,0.409,219205000.0,115409000.0,0.126,14.246,0.519,3.084,28.324,3268870301.0,192294000.0,6.05,-16736000.0,163449000.0,1059905000.0,0.138,1999
1209,VTRS,1998-06-19,1998-12-31,555423000.0,0.369,170097000.0,100777000.0,0.142,21.984,0.087,5.116,37.791,3808475455.0,148389000.0,6.028,-28853000.0,52650000.0,744465000.0,0.139,1998
1210,VTR,2025-02-13,2024-12-31,4924266000.0,0.21,1899356000.0,81153000.0,0.008,21.676,-1.993,2.636,349.807,28387870301.0,646213000.0,,-2200709000.0,1329625000.0,10771267000.0,1.397,2024
1211,VTR,2024-02-15,2023-12-31,4497827000.0,-0.1,1916061000.0,-40973000.0,-0.004,16.135,2.162,1.875,-434.257,17792826408.0,523600000.0,,-249937000.0,1119873000.0,9488058000.0,1.568,2023
1212,VTR,2023-02-10,2022-12-31,4129193000.0,-0.12,1600982000.0,-47447000.0,-0.005,20.433,0.831,2.009,-429.862,20395672695.0,403184000.0,,-787771000.0,1120163000.0,10152968000.0,1.347,2022
1213,VTR,2022-02-18,2021-12-31,3828007000.0,0.13,1691327000.0,49008000.0,0.005,19.616,0.162,1.948,431.548,21149325228.0,493924000.0,,-961583000.0,1026116000.0,10854385000.0,1.243,2021
1214,VTR,2021-02-23,2020-12-31,3795357000.0,1.18,1921919000.0,439149000.0,0.043,16.711,5.037,2.01,46.599,20463878294.0,812156000.0,,437062000.0,1450176000.0,10180167000.0,1.318,2020
1215,VTR,2020-02-24,2019-12-31,3872750000.0,1.18,1873988000.0,433016000.0,0.041,19.089,0.179,2.251,54.291,23508852697.0,828368000.0,,-1370917000.0,1437783000.0,10445892000.0,1.328,2019
1216,VTR,2019-02-08,2018-12-31,3745810000.0,1.15,1731650000.0,409467000.0,0.039,19.36,2.825,2.244,55.979,22921717086.0,812011000.0,,-374849000.0,1381467000.0,10215857000.0,1.187,2018
1217,VTR,2018-02-09,2017-12-31,3574149000.0,3.82,2632815000.0,1356470000.0,0.128,11.191,3.286,1.691,13.547,18376257554.0,1744867000.0,,-274444000.0,1442180000.0,10866226000.0,1.184,2017
1218,VTR,2017-02-14,2016-12-31,3443522000.0,1.88,1936552000.0,649231000.0,0.065,16.844,-0.064,2.09,33.669,21858962213.0,1037628000.0,,-1389654000.0,1367457000.0,10460240000.0,1.189,2016
1219,VTR,2016-02-12,2015-12-31,3286398000.0,1.26,1719336000.0,417843000.0,0.041,15.908,-2.996,1.702,38.952,16275887147.0,745673000.0,,-2381538000.0,1391767000.0,9564327000.0,1.301,2015
1220,VTR,2015-02-13,2014-12-31,3075746000.0,1.62,1672344000.0,475767000.0,0.055,21.589,-0.969,2.92,53.268,25343337935.0,843877000.0,,-1539892000.0,1254845000.0,8680184000.0,1.417,2014
1221,VTR,2014-02-18,2013-12-31,2810053000.0,1.55,1546046000.0,453509000.0,0.051,17.632,-1.246,2.048,39.855,18074791657.0,776165000.0,,-1559308000.0,1194755000.0,8824281000.0,1.209,2013
1222,VTR,2013-02-19,2012-12-31,2485299000.0,1.24,1414694000.0,362800000.0,0.039,20.136,-1.79,2.245,55.806,20246299895.0,649919000.0,,-1515502000.0,992816000.0,9019128000.0,1.077,2012
1223,VTR,2012-02-22,2011-12-31,1764991000.0,1.6,1029867000.0,364493000.0,0.058,21.859,0.719,1.747,44.46,16205252951.0,570163000.0,,-609051000.0,773197000.0,9274957000.0,0.842,2011
1224,VTR,2011-02-18,2010-12-31,1016867000.0,1.57,636295000.0,246167000.0,0.102,18.893,1.35,3.847,37.301,9182200733.0,430231000.0,,-236133000.0,447622000.0,2386726000.0,1.411,2010
1225,VTR,2010-02-19,2009-12-31,936094000.0,1.75,644533000.0,266495000.0,0.111,14.877,2.76,2.866,26.514,7065891486.0,443279000.0,,-971000.0,422101000.0,2465511000.0,1.27,2009
1226,VTR,2009-02-27,2008-12-31,929766000.0,1.62,649341000.0,226288000.0,0.109,9.253,2.853,1.44,13.669,3093241493.0,413587000.0,,34023000.0,364175000.0,2148468000.0,1.677,2008
1227,VTR,2008-02-29,2007-12-31,771791000.0,2.26,693539000.0,282318000.0,0.177,13.067,-6.505,3.172,20.873,5784199894.0,458494000.0,,-1197326000.0,399810000.0,1823654000.0,2.117,2007
1228,VTR,2007-02-22,2006-12-31,428349000.0,1.26,392177000.0,131430000.0,0.197,18.589,-2.416,7.103,38.366,5042485972.0,272524000.0,,-490679000.0,238867000.0,709876000.0,3.584,2006
1229,VTR,2006-02-28,2005-12-31,332988000.0,1.37,324166000.0,130583000.0,0.244,15.299,-3.834,4.822,24.644,3218132785.0,236164000.0,,-588136000.0,223764000.0,667319000.0,2.955,2005
1230,VTR,2005-03-01,2004-12-31,236856000.0,1.45,236955000.0,120900000.0,0.906,13.033,-1.831,14.193,18.809,2274055275.0,187717000.0,,-302831000.0,149958000.0,160224000.0,6.033,2004
1231,VTR,2004-02-27,2003-12-31,205003000.0,2.05,266486000.0,162753000.0,-11.35,10.162,3.482,38.305,13.254,2157120096.0,224543000.0,,138906000.0,137366000.0,56315000.0,13.434,2003
1232,VTR,2003-02-26,2002-12-31,196704000.0,0.95,182137000.0,65706000.0,-0.712,8.909,1.323,-17.479,14.265,937325320.0,140030000.0,,-24688000.0,116385000.0,-53627000.0,-17.704,2002
1233,VTR,2002-03-26,2001-12-31,204581000.0,0.74,182321000.0,50566000.0,-0.52,9.191,1.161,-9.517,17.141,866732869.0,140283000.0,,-447000.0,79893000.0,-91074000.0,-11.342,2001
1234,VTR,2001-04-16,2000-12-31,242322000.0,-0.96,72131000.0,-65452000.0,2.636,19.181,1.331,-5.203,-9.341,611419382.0,29867000.0,,5170000.0,85338000.0,-117514000.0,-9.349,2000
1235,VTR,2000-03-29,1999-12-31,233245000.0,0.63,174091000.0,42535000.0,9.034,6.039,1.528,25.96,5.093,216638701.0,131288000.0,,-45000.0,103580000.0,8345000.0,127.364,1999
1236,VTR,1999-03-31,1998-12-31,149933000.0,0.39,132613000.0,26758000.0,0.125,10.091,1.063,-45.219,15.224,407374686.0,103913000.0,,-14581000.0,86757000.0,-9009000.0,-107.527,1998
1237,VSTNQ,2010-02-26,2009-12-31,6685000000.0,0.98,677000000.0,128000000.0,-0.137,2.953,-0.077,-0.057,0.346,44310358.0,325000000.0,1.625,-151000000.0,141000000.0,-772000000.0,-7.091,2009
1238,VSTNQ,2009-03-31,2008-12-31,9544000000.0,-5.26,66000000.0,-681000000.0,1.548,24.227,-3.142,-0.019,-0.025,16962772.0,-350000000.0,0.649,-294000000.0,-116000000.0,-887000000.0,-6.917,2008
1239,VSTNQ,2008-02-22,2007-12-31,11266000000.0,-2.87,345000000.0,-372000000.0,3.235,4.497,-0.64,-5.215,-1.262,469333138.0,-127000000.0,1.611,-376000000.0,293000000.0,-90000000.0,-81.056,2007
1240,VSTNQ,2007-02-28,2006-12-31,11418000000.0,-1.28,482000000.0,-163000000.0,2.629,4.713,-0.713,-5.854,-6.751,1100488874.0,52000000.0,1.388,-373000000.0,281000000.0,-188000000.0,-37.904,2006
1241,VSTNQ,2006-03-16,2005-12-31,16976000000.0,-2.14,545000000.0,-270000000.0,-1.504,3.145,-1.312,-12.187,-2.167,584988183.0,-50000000.0,1.13,-585000000.0,417000000.0,-48000000.0,-141.333,2005
1242,VSTNQ,2005-03-16,2004-12-31,18657000000.0,-11.96,-438000000.0,-1499000000.0,-1.311,-4.739,-3.178,1.982,-0.538,806813223.0,-438000000.0,1.156,-827000000.0,418000000.0,407000000.0,24.329,2004
