date,action,ticker,name,contraticker,contraname,note
2021-03-22,removed,FLS,FLOWSERVE CORP,NXPI,NXP SEMICONDUCTORS NV,
2021-02-12,removed,FTI,TECHNIPFMC PLC,MPWR,MONOLITHIC POWER SYSTEMS INC,
2021-01-21,removed,CXO,CONCHO RESOURCES INC,TRMB,TRIMBLE INC,
2021-01-07,removed,TIF,TIFFANY & CO,ENPH,ENPHASE ENERGY INC,
2020-12-21,removed,AIV,APARTMENT INVESTMENT & MANAGEMENT CO,TSLA,TESLA INC,
2020-10-12,removed,NBL,NOBLE ENERGY INC,VNT,VONTIER CORP,
2020-10-07,removed,ETFC,E TRADE FINANCIAL CORP,POOL,POOL CORP,
2020-09-21,removed,KSS,KOHLS CORP,CTLT,CATALENT INC,
2020-09-21,removed,HRB,H&R BLOCK INC,ETSY,ETSY INC,
2020-09-21,removed,COTY,COTY INC,TER,TERADYNE INC,
2020-06-22,removed,JWN,NORDSTROM INC,TYL,TYLER TECHNOLOGIES INC,
2020-06-22,removed,HOG,HARLEY-DAVIDSON INC,TDY,TELEDYNE TECHNOLOGIES INC,
2020-06-22,removed,BFH,BREAD FINANCIAL HOLDINGS INC,BIO,BIO-RAD LABORATORIES INC,
2020-05-22,removed,HP,HELMERICH & PAYNE INC,WST,WEST PHARMACEUTICAL SERVICES INC,
2020-05-12,removed,CPRI,CAPRI HOLDINGS LTD,DPZ,DOMINOS PIZZA INC,
2020-05-12,removed,AGN,ALLERGAN PLC,DXCM,DEXCOM INC,
2020-04-06,removed,RTN,RAYTHEON CO,OTIS,OTIS WORLDWIDE CORP,
2020-04-06,removed,M,MACY'S INC,CARR,CARRIER GLOBAL CORP,
2020-03-03,removed,XEC,CIMAREX ENERGY CO,IR,INGERSOLL RAND INC,
2020-01-23,removed,WCG,WELLCARE HEALTH PLANS INC,PAYC,PAYCOM SOFTWARE INC,
2019-12-23,removed,TRIP,TRIPADVISOR INC,ZBRA,ZEBRA TECHNOLOGIES CORP,
2019-12-23,removed,MAC,MACERICH CO,STE,STERIS PLC,
2019-12-23,removed,AMG,AFFILIATED MANAGERS GROUP INC,LYV,LIVE NATION ENTERTAINMENT INC,
2019-12-09,removed,STI1,SUNTRUST BANKS INC,ODFL,OLD DOMINION FREIGHT LINE INC,
2019-12-05,removed,VIAB,VIACOM INC,WRB,BERKLEY W R CORP,
2019-11-21,removed,CELG,CELGENE CORP,NOW,SERVICENOW INC,
2019-10-03,removed,NKTR,NEKTAR THERAPEUTICS,LVS,LAS VEGAS SANDS CORP,
2019-09-26,removed,JEF,JEFFERIES FINANCIAL GROUP INC,NVR,NVR INC,
2019-09-17,removed,TSS,TOTAL SYSTEM SERVICES INC,CDW,CDW CORP,
2019-08-08,removed,FL,FOOT LOCKER INC,IEX,IDEX CORP,
2019-08-08,removed,APC,ANADARKO PETROLEUM CORP,LDOS,LEIDOS HOLDINGS INC,
2019-07-08,removed,RHT,RED HAT INC,TMUS,T-MOBILE US INC,
2019-06-28,removed,LLL1,L3 TECHNOLOGIES INC,MKTX,MARKETAXESS HOLDINGS INC,
2019-06-11,removed,BMS,BEMIS CO INC,AMCR,AMCOR PLC,
2019-06-07,removed,MAT,MATTEL INC,BMS,BEMIS CO INC,
2019-06-03,removed,FLR,FLUOR CORP,CTVA,CORTEVA INC,
2019-04-02,removed,BHF,BRIGHTHOUSE FINANCIAL INC,DOW,DOW INC,
2019-03-20,removed,TFCFA,TWENTY-FIRST CENTURY FOX INC,FOXA,FOX CORP,
2019-03-20,removed,TFCF,TWENTY-FIRST CENTURY FOX INC,FOX,FOX CORP,
2019-02-27,removed,GT,GOODYEAR TIRE & RUBBER CO,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,
2019-02-15,removed,NFX,NEWFIELD EXPLORATION CO,ATO,ATMOS ENERGY CORP,
2019-01-18,removed,PCG,PG&E CORP,TFX,TELEFLEX INC,
2019-01-02,removed,SCG,SCANA CORP,FRCB,FIRST REPUBLIC BANK,
2018-12-24,removed,ESRX,EXPRESS SCRIPTS HOLDING CO,CE,CELANESE CORP,
2018-12-03,removed,SRCL,STERICYCLE INC,FANG,DIAMONDBACK ENERGY INC,
2018-12-03,removed,COL,ROCKWELL COLLINS INC,LW,LAMB WESTON HOLDINGS INC,
2018-12-03,removed,AET,AETNA INC,MXIM,MAXIM INTEGRATED PRODUCTS INC,
2018-11-13,removed,EQT,EQT CORP,JKHY,JACK HENRY & ASSOCIATES INC,
2018-11-06,removed,CA1,CA INC,KEYS,KEYSIGHT TECHNOLOGIES INC,
2018-10-31,removed,PX1,PRAXAIR INC,LIN,LINDE PLC,
2018-10-11,removed,EVHC,ENVISION HEALTHCARE CORP,FTNT,FORTINET INC,
2018-10-01,removed,ANDV,ANDEAVOR,ROL,ROLLINS INC,
2018-09-12,removed,XL1,XL GROUP LTD,WCG,WELLCARE HEALTH PLANS INC,
2018-08-28,removed,GGP,GGP INC,ANET,ARISTA NETWORKS INC,
2018-07-02,removed,KDP,KEURIG DR PEPPER INC,CPRT,COPART INC,
2018-06-20,removed,TWX,TIME WARNER INC,CPAY,CORPAY INC,
2018-06-18,removed,RRC,RANGE RESOURCES CORP,BR,BROADRIDGE FINANCIAL SOLUTIONS INC,
2018-06-18,removed,AYI,ACUITY BRANDS INC,DINO,HF SINCLAIR CORP,
2018-06-07,removed,MON2,MONSANTO CO,TWTR,TWITTER INC,
2018-06-05,removed,NAVI,NAVIENT CORP,EVRG,EVERGY INC,
2018-05-31,removed,TNL,TRAVEL & LEISURE CO,ABMD,ABIOMED INC,
2018-04-04,removed,CSRA,CSRA INC,MSCI,MSCI INC,
2018-03-19,removed,SIG,SIGNET JEWELERS LTD,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,
2018-03-19,removed,PDCO,PATTERSON COMPANIES INC,SIVBQ,SVB FINANCIAL GROUP,
2018-03-19,removed,CHKAQ,CHESAPEAKE ENERGY CORP,NKTR,NEKTAR THERAPEUTICS,
2018-03-07,removed,SNI,SCRIPPS NETWORKS INTERACTIVE INC,IPGP,IPG PHOTONICS CORP,
2017-12-29,removed,BCR,BARD C R INC,HII,HUNTINGTON INGALLS INDUSTRIES INC,
2017-10-13,removed,LVLT,LEVEL 3 COMMUNICATIONS INC,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,
2017-09-13,removed,SPLS,STAPLES INC,CDNS,CADENCE DESIGN SYSTEMS INC,
2017-09-01,removed,DD1,DUPONT E I DE NEMOURS & CO,SBAC,SBA COMMUNICATIONS CORP,
2017-08-29,removed,WFM,WHOLE FOODS MARKET INC,IQV,IQVIA HOLDINGS INC,
2017-08-07,removed,AN,AUTONATION INC,BHF,BRIGHTHOUSE FINANCIAL INC,
2017-07-26,removed,RIG,TRANSOCEAN LTD,DRE,DUKE REALTY CORP,
2017-07-26,removed,MUR,MURPHY OIL CORP,PKG,PACKAGING CORP OF AMERICA,
2017-07-26,removed,MNKKQ,MALLINCKRODT PLC,RMD,RESMED INC,
2017-07-26,removed,BBBYQ,BED BATH & BEYOND INC,AOS,SMITH A O CORP,
2017-07-25,removed,RAI,REYNOLDS AMERICAN INC,MGM,MGM RESORTS INTERNATIONAL,
2017-07-05,removed,BHI,BAKER HUGHES INC,BKR,BAKER HUGHES CO,
2017-06-19,removed,YHOO,YAHOO INC,HLT,HILTON WORLDWIDE HOLDINGS INC,
2017-06-19,removed,TDC,TERADATA CORP,ALGN,ALIGN TECHNOLOGY INC,
2017-06-19,removed,R,RYDER SYSTEM INC,ANSS,ANSYS INC,
2017-06-15,removed,MJN,MEAD JOHNSON NUTRITION CO,EG,EVEREST GROUP LTD,
2017-06-02,removed,TGNA,TEGNA INC,INFO1,IHS MARKIT LTD,
2017-04-05,removed,DNB3,DUN & BRADSTREET CORP,IT,GARTNER INC,
2017-04-04,removed,SWN,SOUTHWESTERN ENERGY CO,DXC,DXC TECHNOLOGY CO,
2017-03-20,removed,URBN,URBAN OUTFITTERS INC,AMD,ADVANCED MICRO DEVICES INC,
2017-03-20,removed,FTRCQ,FRONTIER COMMUNICATIONS CORP,RJF,RAYMOND JAMES FINANCIAL INC,
2017-03-20,removed,FSLR,FIRST SOLAR INC,ARE,ALEXANDRIA REAL ESTATE EQUITIES INC,
2017-03-10,removed,LLTC,LINEAR TECHNOLOGY CORP,DISH,DISH NETWORK CORP,
2017-03-10,removed,HAR,HARMAN INTERNATIONAL INDUSTRIES INC,SNPS,SYNOPSYS INC,
2017-03-02,removed,ENDPQ,ENDO INTERNATIONAL PLC,REG,REGENCY CENTERS CORP,
2017-03-01,removed,PBI,PITNEY BOWES INC,CBOE,CBOE GLOBAL MARKETS INC,
2017-02-24,removed,SE1,SPECTRA ENERGY CORP,INCY,INCYTE CORP,
2017-01-13,removed,FTI1,FMC TECHNOLOGIES INC,FTI,TECHNIPFMC PLC,
2017-01-05,removed,STJ,ST JUDE MEDICAL INC,IDXX,IDEXX LABORATORIES INC,
2016-12-02,removed,OI,O-I GLASS INC,MAA,MID AMERICA APARTMENT COMMUNITIES INC,
2016-12-02,removed,LM,LEGG MASON INC,EVHC,ENVISION HEALTHCARE CORP,
2016-09-30,removed,DOFSQ,DIAMOND OFFSHORE DRILLING INC,COTY,COTY INC,
2016-09-23,removed,HOT,STARWOOD HOTEL & RESORTS WORLDWIDE INC,COO,COOPER COMPANIES INC,
2016-09-08,removed,EMC1,EMC CORP,CHTR,CHARTER COMMUNICATIONS INC,
2016-09-02,removed,TYC,TYCO INTERNATIONAL PLC,MTD,METTLER TOLEDO INTERNATIONAL INC,
2016-06-30,removed,TE1,TECO ENERGY INC,ALB,ALBEMARLE CORP,
2016-06-30,removed,GAS,AGL RESOURCES INC,LNT,ALLIANT ENERGY CORP,
2016-06-30,removed,CPGX,COLUMBIA PIPELINE GROUP INC,FTV,FORTIVE CORP,
2016-06-21,removed,CVC,CABLEVISION SYSTEMS CORP,FBIN,FORTUNE BRANDS INNOVATIONS INC,
2016-06-03,removed,BXLT,BAXALTA INC,TDG,TRANSDIGM GROUP INC,
2016-05-27,removed,CCE1,COCA-COLA ENTERPRISES INC,AJG,ARTHUR J GALLAGHER & CO,
2016-05-20,removed,ARG,AIRGAS INC,LKQ,LKQ CORP,
2016-05-18,removed,TWC,TIME WARNER CABLE INC,DLR,DIGITAL REALTY TRUST INC,
2016-05-12,removed,SNDK1,SANDISK CORP,ALK,ALASKA AIR GROUP INC,
2016-04-29,removed,ADT1,ADT CORP,AYI,ACUITY BRANDS INC,
2016-04-25,removed,GME,GAMESTOP CORP,GPN,GLOBAL PAYMENTS INC,
2016-04-18,removed,THC,TENET HEALTHCARE CORP,ULTA,ULTA BEAUTY INC,
2016-04-01,removed,CAM,CAMERON INTERNATIONAL CORP,FL,FOOT LOCKER INC,
2016-03-30,removed,VALPQ,VALARIS PLC,CNC,CENTENE CORP,
2016-03-24,removed,POM,PEPCO HOLDINGS INC,HOLX,HOLOGIC INC,
2016-03-04,removed,CNX,CNX RESOURCES CORP,AWK,AMERICAN WATER WORKS COMPANY INC,
2016-03-03,removed,GMCR,KEURIG GREEN MOUNTAIN INC,UDR,UDR INC,
2016-02-19,removed,PCL,PLUM CREEK TIMBER CO INC,CXO,CONCHO RESOURCES INC,
2016-01-29,removed,PCP,PRECISION CASTPARTS CORP,CFG,CITIZENS FINANCIAL GROUP INC,
2016-01-29,removed,BRCM,BROADCOM CORP,FRT,FEDERAL REALTY INVESTMENT TRUST,
2016-01-15,removed,CB1,CHUBB CORP,EXR,EXTRA SPACE STORAGE INC,
2016-01-05,removed,FOSL,FOSSIL GROUP INC,WTW,WILLIS TOWERS WATSON PLC,
2015-12-25,removed,ALTR1,ALTERA CORP,CHD,CHURCH & DWIGHT CO INC,
2015-12-11,removed,CMCSK,COMCAST CORP,N/A,N/A,
2015-11-27,removed,CSC,COMPUTER SCIENCES CORP,CSRA,CSRA INC,
2015-11-18,removed,SIAL,SIGMA ALDRICH CORP,ILMN,ILLUMINA INC,
2015-11-18,removed,GNW,GENWORTH FINANCIAL INC,SYF,SYNCHRONY FINANCIAL,
2015-11-02,removed,HCBK,HUDSON CITY BANCORP INC,HPE,HEWLETT PACKARD ENTERPRISE CO,
2015-10-08,removed,JOY,JOY GLOBAL INC,VRSK,VERISK ANALYTICS INC,
2015-09-03,removed,HSP,HOSPIRA INC,UAL,UNITED AIRLINES HOLDINGS INC,
2015-08-28,removed,PLL1,PALL CORP,ATVI,ACTIVISION BLIZZARD INC,
2015-07-24,removed,DTV1,DIRECTV,SIG,SIGNET JEWELERS LTD,
2015-07-17,removed,NEBLQ,NOBLE CORP,PYPL,PAYPAL HOLDINGS INC,
2015-07-07,removed,FDO,FAMILY DOLLAR STORES INC,AAP,ADVANCE AUTO PARTS INC,
2015-07-06,removed,KRFT,KRAFT FOODS GROUP INC,KHC,KRAFT HEINZ CO,
2015-07-02,removed,MWV,MEADWESTVACO CORP,WRK,WESTROCK CO,
2015-07-02,removed,ATI,ATI INC,CPGX,COLUMBIA PIPELINE GROUP INC,
2015-06-30,removed,TEG,INTEGRYS HOLDING INC,JBHT,HUNT J B TRANSPORT SERVICES INC,
2015-06-30,removed,QEP,QEP RESOURCES INC,BXLT,BAXALTA INC,
2015-06-12,removed,LO,LORILLARD INC,QRVO,QORVO INC,
2015-04-07,removed,WINMQ,WINDSTREAM HOLDINGS INC,O,REALTY INCOME CORP,
2015-03-23,removed,NBR,NABORS INDUSTRIES LTD,SLG,SL GREEN REALTY CORP,
2015-03-20,removed,DNRCQ,DENBURY RESOURCES INC,EQIX,EQUINIX INC,
2015-03-20,removed,AVP,AVON PRODUCTS INC,HBI,HANESBRANDS INC,
2015-03-17,removed,CFN,CAREFUSION CORP,HSIC,HENRY SCHEIN INC,
2015-03-17,removed,AGN1,ALLERGAN INC,AAL,AMERICAN AIRLINES GROUP INC,
2015-03-12,removed,PETM,PETSMART INC,SWKS,SKYWORKS SOLUTIONS INC,
2015-01-27,removed,SWY,SAFEWAY INC,HCA,HCA HEALTHCARE INC,
2015-01-27,removed,COV,COVIDIEN PLC,ENDPQ,ENDO INTERNATIONAL PLC,
2014-12-05,removed,BMS,BEMIS CO INC,RCL,ROYAL CARIBBEAN CRUISES LTD,
2014-11-05,removed,JBL,JABIL INC,LVLT,LEVEL 3 COMMUNICATIONS INC,
2014-09-19,removed,GHC,GRAHAM HOLDINGS CO,UHS,UNIVERSAL HEALTH SERVICES INC,
2014-09-19,removed,BTUUQ,PEABODY ENERGY CORP,URI,UNITED RENTALS INC,
2014-08-19,removed,RDC,ROWAN COMPANIES PLC,MNKKQ,MALLINCKRODT PLC,
2014-07-02,removed,X,UNITED STATES STEEL CORP,MLM,MARTIN MARIETTA MATERIALS INC,
2014-06-30,removed,FRX1,FOREST LABORATORIES INC,AMG,AFFILIATED MANAGERS GROUP INC,
2014-06-20,removed,IGT1,INTERNATIONAL GAME TECHNOLOGY,XEC,CIMAREX ENERGY CO,
2014-05-07,removed,LSI1,LSI CORP,AVGO,BROADCOM INC,
2014-05-01,removed,SLM,SLM CORP,NAVI,NAVIENT CORP,
2014-05-01,removed,BEAM2,BEAM INC,UAA,UNDER ARMOUR INC,
2014-04-02,removed,CLF,CLEVELAND-CLIFFS INC,ESS,ESSEX PROPERTY TRUST INC,
2014-03-21,removed,WPX,WPX ENERGY INC,GMCR,KEURIG GREEN MOUNTAIN INC,
2014-01-24,removed,LIFE2,LIFE TECHNOLOGIES CORP,TSCO,TRACTOR SUPPLY CO,
2013-12-20,removed,VIAV,VIAVI SOLUTIONS INC,MHK,MOHAWK INDUSTRIES INC,
2013-12-20,removed,TER,TERADYNE INC,META,META PLATFORMS INC,
2013-12-20,removed,ANF,ABERCROMBIE & FITCH CO,BFH,BREAD FINANCIAL HOLDINGS INC,
2013-12-06,removed,MOLX,MOLEX INC,GGP,GGP INC,
2013-12-02,removed,CPPRQ,OLD COPPER COMPANY INC,ALLE,ALLEGION PLC,
2013-11-13,removed,NYX1,NYSE EURONEXT,CPRI,CAPRI HOLDINGS LTD,
2013-10-30,removed,DELL1,DELL INC,RIG,TRANSOCEAN LTD,
2013-09-23,removed,LDOS,LEIDOS HOLDINGS INC,AME,AMETEK INC,
2013-09-23,removed,AMD,ADVANCED MICRO DEVICES INC,VRTX,VERTEX PHARMACEUTICALS INC,
2013-09-11,removed,BMC,BMC SOFTWARE INC,DAL,DELTA AIR LINES INC,
2013-07-09,removed,S2,SPRINT CORP,NLSN,NIELSEN HOLDINGS PLC,
